# #E, E1, M1
0.000000000000000000e+00 8.065533190135559502e-09 0.000000000000000000e+00
4.000000000000000083e-02 8.102339059579497682e-09 4.720634204499214806e-10
8.000000000000000167e-02 8.139332110618955208e-09 9.453788063429925012e-10
1.199999999999999956e-01 8.176699600930655508e-09 1.421205596473509163e-09
1.600000000000000033e-01 8.214628940402593382e-09 1.900818243096928309e-09
2.000000000000000111e-01 8.253307767361878354e-09 2.385513886039239327e-09
2.399999999999999911e-01 8.292924024949321519e-09 2.876620228991596450e-09
2.800000000000000266e-01 8.333666037689921917e-09 3.375503687547591333e-09
3.200000000000000067e-01 8.375722588308530896e-09 3.883577880276342855e-09
3.599999999999999867e-01 8.419282994840204535e-09 4.402312536132046394e-09
4.000000000000000222e-01 8.464537188085048661e-09 4.933242893646627454e-09
4.400000000000000022e-01 8.511675789457604209e-09 5.477979669449307110e-09
4.799999999999999822e-01 8.560890189281255749e-09 6.038219675445728920e-09
5.200000000000000178e-01 8.612372625578437184e-09 6.615757165112717833e-09
5.600000000000000533e-01 8.666316263407981021e-09 7.212495989337374341e-09
5.999999999999999778e-01 8.722915274801301753e-09 7.830462640392428586e-09
6.400000000000000133e-01 8.782364919349773849e-09 8.471820258108043688e-09
6.800000000000000488e-01 8.844861625496161232e-09 9.138883663886476624e-09
7.199999999999999734e-01 8.910603072583580405e-09 9.834135474327768848e-09
7.600000000000000089e-01 8.979788273716250363e-09 1.056024332479135542e-08
8.000000000000000444e-01 9.052617659486894521e-09 1.132007820143511525e-08
8.399999999999999689e-01 9.129293162626498655e-09 1.211673383449955244e-08
8.800000000000000044e-01 9.210018303632977543e-09 1.295354704106335252e-08
9.200000000000000400e-01 9.294998277436116930e-09 1.383411881597016415e-08
9.599999999999999645e-01 9.384440041157143458e-09 1.476233584707190185e-08
1.000000000000000000e+00 9.478552403022261169e-09 1.574239196502409931e-08
1.040000000000000036e+00 9.577546112490482542e-09 1.677880881546155032e-08
1.080000000000000071e+00 9.681633951657254923e-09 1.787645474593589880e-08
1.120000000000000107e+00 9.791030827996468494e-09 1.904056051098446100e-08
1.159999999999999920e+00 9.905953868504687589e-09 2.027672989112023113e-08
1.199999999999999956e+00 1.002662251531271604e-08 2.159094266569535540e-08
1.239999999999999991e+00 1.015325862283089268e-08 2.298954654149077610e-08
1.280000000000000027e+00 1.028608655649599383e-08 2.447923358167640298e-08
1.320000000000000062e+00 1.042533329318899756e-08 2.606699536714940501e-08
1.360000000000000098e+00 1.057122852339452809e-08 2.776004952488762395e-08
1.400000000000000133e+00 1.072400475517438164e-08 2.956572836490666163e-08
1.439999999999999947e+00 1.088389742002921613e-08 3.149131820474624927e-08
1.479999999999999982e+00 1.105114498072417285e-08 3.354383562019146519e-08
1.520000000000000018e+00 1.122598904115603939e-08 3.572972454401656624e-08
1.560000000000000053e+00 1.140867445834142106e-08 3.805445621014505356e-08
1.600000000000000089e+00 1.159944945660736356e-08 4.052201302317627528e-08
1.640000000000000124e+00 1.179856574406786267e-08 4.313423847077565527e-08
1.679999999999999938e+00 1.200627863147183464e-08 4.589003955231712928e-08
1.719999999999999973e+00 1.222284715351033258e-08 4.878443768503687597e-08
1.760000000000000009e+00 1.244853419267299287e-08 5.180748084813411269e-08
1.800000000000000044e+00 1.268360660574621191e-08 5.494305606356381640e-08
1.840000000000000080e+00 1.292833535304780012e-08 5.816767877051449060e-08
1.880000000000000115e+00 1.318299563049561462e-08 6.144938395445542209e-08
1.919999999999999929e+00 1.344786700461016674e-08 6.474689917586454889e-08
1.959999999999999964e+00 1.372323355055402476e-08 6.800933247894813313e-08
2.000000000000000000e+00 1.400938399331357806e-08 7.117664216737257323e-08
2.040000000000000036e+00 1.430661185213183123e-08 7.418114795667806500e-08
2.080000000000000071e+00 1.461521558830373537e-08 7.695026967848538873e-08
2.120000000000000107e+00 1.493549875644887581e-08 7.941052400709402267e-08
2.160000000000000142e+00 1.526777015937958310e-08 8.149257622772777023e-08
2.200000000000000178e+00 1.561234400668578482e-08 8.313687025027421807e-08
2.240000000000000213e+00 1.596954007716163332e-08 8.429911721078034413e-08
2.280000000000000249e+00 1.633968388520237037e-08 8.495479933005883614e-08
2.319999999999999840e+00 1.672310685130371150e-08 8.510191184610466340e-08
2.359999999999999876e+00 1.712014647679996857e-08 8.476143674045106327e-08
2.399999999999999911e+00 1.753114652298098522e-08 8.397545773669893778e-08
2.439999999999999947e+00 1.795645719473228782e-08 8.280326817077233390e-08
2.479999999999999982e+00 1.839643532884694734e-08 8.131616223820174885e-08
2.520000000000000018e+00 1.885144458716219392e-08 7.959174881191958157e-08
2.560000000000000053e+00 1.932185565467838834e-08 7.770857148114642826e-08
2.600000000000000089e+00 1.980804644282260694e-08 7.574161141219828302e-08
2.640000000000000124e+00 2.031040229802401978e-08 7.375897716879234650e-08
2.680000000000000160e+00 2.082931621577323808e-08 7.181982892796011814e-08
2.720000000000000195e+00 2.136518906034310736e-08 6.997339516700389197e-08
2.760000000000000231e+00 2.191842979035360116e-08 6.825883452054912302e-08
2.800000000000000266e+00 2.248945569036920735e-08 6.670566449584680140e-08
2.839999999999999858e+00 2.307869260872266159e-08 6.533449974231458642e-08
2.879999999999999893e+00 2.368657520176507028e-08 6.415789194305244284e-08
2.919999999999999929e+00 2.431354718474825506e-08 6.318112267396231258e-08
2.959999999999999964e+00 2.496006158955152396e-08 6.240285846876081203e-08
3.000000000000000000e+00 2.562658102947162522e-08 6.181562883586791777e-08
3.040000000000000036e+00 2.631357797130090352e-08 6.140613230703511311e-08
3.080000000000000071e+00 2.702153501492616913e-08 6.115541392933531053e-08
3.120000000000000107e+00 2.775094518068703392e-08 6.103899111007431571e-08
3.160000000000000142e+00 2.850231220474036660e-08 6.102703300908450287e-08
3.200000000000000178e+00 2.927615084268466564e-08 6.108471878110812497e-08
3.240000000000000213e+00 3.007298718170575254e-08 6.117290605766959406e-08
3.280000000000000249e+00 3.089335896151341961e-08 6.124922525769165927e-08
3.320000000000000284e+00 3.173781590434630001e-08 6.126967018716732129e-08
3.359999999999999876e+00 3.260692005433085356e-08 6.119067794380409384e-08
3.399999999999999911e+00 3.350124612648893451e-08 6.097158750910045332e-08
3.439999999999999947e+00 3.442138186569686826e-08 6.057725490539691403e-08
3.479999999999999982e+00 3.536792841590838366e-08 5.998051255361246534e-08
3.520000000000000018e+00 3.634150069996252551e-08 5.916412377415503559e-08
3.560000000000000053e+00 3.734272781030747266e-08 5.812192303981700833e-08
3.600000000000000089e+00 3.837225341098076883e-08 5.685894967891879782e-08
3.640000000000000124e+00 3.943073615119602899e-08 5.539055178117419864e-08
3.680000000000000160e+00 4.051885009089703014e-08 5.374061319509444877e-08
3.720000000000000195e+00 4.163728513864966416e-08 5.193919216705447928e-08
3.760000000000000231e+00 4.278674750225325504e-08 5.001992325286239573e-08
3.800000000000000266e+00 4.396796015246345643e-08 4.801751830833904322e-08
3.839999999999999858e+00 4.518166330022971209e-08 4.596562542487724433e-08
3.879999999999999893e+00 4.642861488786182897e-08 4.389519763530242785e-08
3.919999999999999929e+00 4.770959109455092000e-08 4.183341708961560807e-08
3.959999999999999964e+00 4.902538685668240074e-08 3.980313681046992915e-08
4.000000000000000000e+00 5.037681640338971610e-08 3.782275022056437546e-08
4.000000000000000000e+00 5.037681640338971610e-08 3.782275022056437546e-08
4.107382550335570315e+00 5.418755808962779204e-08 3.284968228336684311e-08
4.214765100671140630e+00 5.827807780106190381e-08 2.847385586246911439e-08
4.322147651006710944e+00 6.266640249204260626e-08 2.471613602101852514e-08
4.429530201342282147e+00 6.737179400494431317e-08 2.152992730748078642e-08
4.536912751677852462e+00 7.241484666277844014e-08 1.884228667632741566e-08
4.644295302013422777e+00 7.781759273368718515e-08 1.657627012063197963e-08
4.751677852348993092e+00 8.360361637450867799e-08 1.466114462553329815e-08
4.859060402684563407e+00 8.979817668949654286e-08 1.303596123099774735e-08
4.966442953020134610e+00 9.642834056508894912e-08 1.164992250367060259e-08
5.073825503355704925e+00 1.035231259603136216e-07 1.046141133103622745e-08
5.181208053691275239e+00 1.111136563423599783e-07 9.436603723622952949e-09
5.288590604026845554e+00 1.192333269546937840e-07 8.548080242586082526e-09
5.395973154362415869e+00 1.279179835865783220e-07 7.773596979433981717e-09
5.503355704697986184e+00 1.372061144726223430e-07 7.095058638602090245e-09
5.610738255033556499e+00 1.471390558822484405e-07 6.497685747945661810e-09
5.718120805369127702e+00 1.577612118533167969e-07 5.969349850679090698e-09
5.825503355704698016e+00 1.691202883710284433e-07 5.500046893807001004e-09
5.932885906040268331e+00 1.812675420796326497e-07 5.081481310336049110e-09
6.040268456375839534e+00 1.942580433242706178e-07 4.706737505446944062e-09
6.147651006711409849e+00 2.081509529337279673e-07 4.370019863494629605e-09
6.255033557046980164e+00 2.230098116477814554e-07 4.066446321543526777e-09
6.362416107382550479e+00 2.389028404358083847e-07 3.791883817172413768e-09
6.469798657718120793e+00 2.559032491109309174e-07 3.542816527997634403e-09
6.577181208053691108e+00 2.740895495736150990e-07 3.316239865807974962e-09
6.684563758389261423e+00 2.935458686697824335e-07 3.109574773331349972e-09
6.791946308724831738e+00 3.143622539615949316e-07 2.920598092943771602e-09
6.899328859060402053e+00 3.366349636149898277e-07 2.747385715421983708e-09
7.006711409395973256e+00 3.604667290276641398e-07 2.588265938459079880e-09
7.114093959731543571e+00 3.859669756658880095e-07 2.441781020182164003e-09
7.221476510067113885e+00 4.132519837515682757e-07 2.306655341652147998e-09
7.328859060402685088e+00 4.424449658409407631e-07 2.181768924296358060e-09
7.436241610738255403e+00 4.736760328627982912e-07 2.066135306222853912e-09
7.543624161073825718e+00 5.070820137475514239e-07 1.958882982682590774e-09
7.651006711409396033e+00 5.428060863143594083e-07 1.859239773697458762e-09
7.758389261744966348e+00 5.809971685749234261e-07 1.766519606021473359e-09
7.865771812080536662e+00 6.218090101202482807e-07 1.680111294734060380e-09
7.973154362416106977e+00 6.653989129625832627e-07 1.599468987670191943e-09
8.080536912751679068e+00 7.119260004683014268e-07 1.524103998009393344e-09
8.187919463087247607e+00 7.615489424490332488e-07 1.453577800086311521e-09
8.295302013422819698e+00 8.144230350290916718e-07 1.387496003483401058e-09
8.402684563758388236e+00 8.706965269737322205e-07 1.325503152762442028e-09
8.510067114093960328e+00 9.305060817001288041e-07 1.267278226374048787e-09
8.617449664429528866e+00 9.939712688189210817e-07 1.212530729594172054e-09
8.724832214765100957e+00 1.061187994122645677e-06 1.160997293746692196e-09
8.832214765100671272e+00 1.132220806532496390e-06 1.112438708248644589e-09
8.939597315436241587e+00 1.207094069313127363e-06 1.066637323765069312e-09
9.046979865771811902e+00 1.285782055776388765e-06 1.023394774465584653e-09
9.154362416107382217e+00 1.368198131196577903e-06 9.825299754176558058e-10
9.261744966442952531e+00 1.454183315726424690e-06 9.438773578391565798e-10
9.369127516778522846e+00 1.543494687680187383e-06 9.072853105113534087e-10
9.476510067114094937e+00 1.635794277602176649e-06 8.726148003213458422e-10
9.583892617449663476e+00 1.730639308865958067e-06 8.397381488207897929e-10
9.691275167785235567e+00 1.827474838803592511e-06 8.085379449855346047e-10
9.798657718120804105e+00 1.925630013985722905e-06 7.789060771447293414e-10
9.906040268456376197e+00 2.024319233330380577e-06 7.507428694044651136e-10
1.001342281879194651e+01 2.122649466723219058e-06 7.239563098912155674e-10
1.012080536912751683e+01 2.219634760333973007e-06 6.984613598423611348e-10
1.022818791946308714e+01 2.314218541728457686e-06 6.741793340232141343e-10
1.033557046979865746e+01 2.405303714091082509e-06 6.510373441917633942e-10
1.044295302013422777e+01 2.491789734880464744e-06 6.289677983969507240e-10
1.055033557046979809e+01 2.572614992053390931e-06 6.079079498110094864e-10
1.065771812080537018e+01 2.646801945359310077e-06 5.877994895841233455e-10
1.076510067114093872e+01 2.713501840986298554e-06 5.685881788895219772e-10
1.087248322147651081e+01 2.772035479525920160e-06 5.502235159151137705e-10
1.097986577181207934e+01 2.821926622037456478e-06 5.326584340673750109e-10
1.108724832214765144e+01 2.862925184346835032e-06 5.158490280957246125e-10
1.119463087248322175e+01 2.895018331845732672e-06 4.997543052307139110e-10
1.130201342281879207e+01 2.918428798571338065e-06 4.843359587650026973e-10
1.140939597315436238e+01 2.933601015531849592e-06 4.695581617993056566e-10
1.151677852348993270e+01 2.941176738187481851e-06 4.553873791319890580e-10
1.162416107382550301e+01 2.941962646156758883e-06 4.417921954958440486e-10
1.173154362416107332e+01 2.936892757340807178e-06 4.287431585429617012e-10
1.183892617449664542e+01 2.926988445823770885e-06 4.162126351522483875e-10
1.194630872483221395e+01 2.913318443781611306e-06 4.041746797870425829e-10
1.205369127516778427e+01 2.896960556126826693e-06 3.926049137652224122e-10
1.216107382550335636e+01 2.878966055382498573e-06 3.814804144234232644e-10
1.226845637583892668e+01 2.860326980385042114e-06 3.707796132624922103e-10
1.237583892617449699e+01 2.841945943648398806e-06 3.604822022548189299e-10
1.248322147651006730e+01 2.824607644650167471e-06 3.505690475771897098e-10
1.259060402684563762e+01 2.808951159677536664e-06 3.410221101065677127e-10
1.269798657718120793e+01 2.795442293693780497e-06 3.318243720818663896e-10
1.280536912751677825e+01 2.784345888024296486e-06 3.229597693932901093e-10
1.291275167785234856e+01 2.775699009331333519e-06 3.144131290130322239e-10
1.302013422818791888e+01 2.769287372408103267e-06 3.061701111277742859e-10
1.312751677852348919e+01 2.764629027850039191e-06 2.982171555751657421e-10
1.323489932885905951e+01 2.760970947757745590e-06 2.905414322238512670e-10
1.334228187919462982e+01 2.757305115068446059e-06 2.831307949701366173e-10
1.344966442953020191e+01 2.752410333615522966e-06 2.759737390544859713e-10
1.355704697986577223e+01 2.744923520389601647e-06 2.690593614281013149e-10
1.366442953020134254e+01 2.733439413823549474e-06 2.623773239241761363e-10
1.377181208053691286e+01 2.716630969072080349e-06 2.559178190103575885e-10
1.387919463087248317e+01 2.693375829785542807e-06 2.496715379187216190e-10
1.398657718120805349e+01 2.662869577955428199e-06 2.436296409674289451e-10
1.409395973154362380e+01 2.624706257267149722e-06 2.377837299043588441e-10
1.420134228187919412e+01 2.578911890758681193e-06 2.321258221176228432e-10
1.430872483221476443e+01 2.525926202704343260e-06 2.266483265710699501e-10
1.441610738255033475e+01 2.466538513556355237e-06 2.213440213348795954e-10
1.452348993288590506e+01 2.401792316381439370e-06 2.162060325922045332e-10
1.463087248322147715e+01 2.332876971879796750e-06 2.112278150126961263e-10
1.473825503355704747e+01 2.261023880792265755e-06 2.064031333927133518e-10
1.484563758389261778e+01 2.187419796211552232e-06 2.017260454701770816e-10
1.495302013422818810e+01 2.113143819429946266e-06 1.971908858294620607e-10
1.506040268456375841e+01 2.039129039418688893e-06 1.927922508184881921e-10
1.516778523489932873e+01 1.966145856125185980e-06 1.885249844063476358e-10
1.527516778523489904e+01 1.894802023032358862e-06 1.843841649154435890e-10
1.538255033557046936e+01 1.825554017966559988e-06 1.803650925672621146e-10
1.548993288590603967e+01 1.758724934690678520e-06 1.764632777856102134e-10
1.559731543624160999e+01 1.694525141884029093e-06 1.726744302054588636e-10
1.570469798657718030e+01 1.633073092144633726e-06 1.689944483394751156e-10
1.581208053691275062e+01 1.574414661215847971e-06 1.654194098579433017e-10
1.591946308724832271e+01 1.518540168352496749e-06 1.619455624410884822e-10
1.602684563758389302e+01 1.465398766912314997e-06 1.585693151658607766e-10
1.613422818791946156e+01 1.414910235109266153e-06 1.552872303920291244e-10
1.624161073825503365e+01 1.366974388663467408e-06 1.520960161150070542e-10
1.634899328859060574e+01 1.321478425902545742e-06 1.489925187551892358e-10
1.645637583892617428e+01 1.278302539170100419e-06 1.459737163557541099e-10
1.656375838926174282e+01 1.237324111709199195e-06 1.430367121628899506e-10
1.667114093959731491e+01 1.198420785239999317e-06 1.401787285642442105e-10
1.677852348993288700e+01 1.161472642116678456e-06 1.373971013631015916e-10
1.688590604026845554e+01 1.126363704208093309e-06 1.346892743673582092e-10
1.699328859060402408e+01 1.092982912201081611e-06 1.320527942738180013e-10
1.710067114093959617e+01 1.061224715512396779e-06 1.294853058296687792e-10
1.720805369127516826e+01 1.030989374832685640e-06 1.269845472542379987e-10
1.731543624161074035e+01 1.002183056267042661e-06 1.245483459052686532e-10
1.742281879194630889e+01 9.747177775188114572e-07 1.221746141750217928e-10
1.753020134228187743e+01 9.485112519130013022e-07 1.198613456024862350e-10
1.763758389261744952e+01 9.234866646033471153e-07 1.176066111888915623e-10
1.774496644295302161e+01 8.995724064429037810e-07 1.154085559045596800e-10
1.785234899328859015e+01 8.767017841957265716e-07 1.132653953759135327e-10
1.795973154362415869e+01 8.548127205871581927e-07 1.111754127421877904e-10
1.806711409395973078e+01 8.338474537743148950e-07 1.091369556720600048e-10
1.817449664429530287e+01 8.137522428796050939e-07 1.071484335310470515e-10
1.828187919463087141e+01 7.944770840416825588e-07 1.052083146910933109e-10
1.838926174496644350e+01 7.759754398225183474e-07 1.033151239743196492e-10
1.849664429530201204e+01 7.582039836283419002e-07 1.014674402234060337e-10
1.860402684563758413e+01 7.411223599496105323e-07 9.966389399154805634e-11
1.871140939597315622e+01 7.246929606193095192e-07 9.790316534536743888e-11
1.881879194630872476e+01 7.088807168672443533e-07 9.618398177456175552e-11
1.892617449664429330e+01 6.936529066631546683e-07 9.450511620245828721e-11
1.903355704697986539e+01 6.789789766574607800e-07 9.286538509199358958e-11
1.914093959731543748e+01 6.648303779179970988e-07 9.126364664196774028e-11
1.924832214765100602e+01 6.511804146038424870e-07 8.969879906873296637e-11
1.935570469798657456e+01 6.380041046979290296e-07 8.816977896876382414e-11
1.946308724832214665e+01 6.252780519271355516e-07 8.667555975782651370e-11
1.957046979865771874e+01 6.129803280235247510e-07 8.521515018271535284e-11
1.967785234899329083e+01 6.010903645170923737e-07 8.378759290176129258e-11
1.978523489932885937e+01 5.895888532942480714e-07 8.239196313053741282e-11
1.989261744966442791e+01 5.784576552039765153e-07 8.102736734939244633e-11
2.000000000000000000e+01 5.676797160428824067e-07 7.969294206963766384e-11
