# E gsf_sum
1.375000000000000666e-01 9.801207548643844369e-09
2.375000000000000444e-01 1.090555904235224978e-08
3.375000000000001332e-01 1.214096814121214064e-08
4.375000000000002220e-01 1.351978526468813182e-08
5.375000000000000888e-01 1.506302650173770212e-08
6.375000000000001776e-01 1.678890823274683919e-08
7.375000000000000444e-01 1.874087380068637628e-08
8.375000000000001332e-01 2.096099245806902773e-08
9.375000000000002220e-01 2.354539943469696926e-08
1.037500000000000089e+00 2.658667135491115202e-08
1.137500000000000178e+00 3.018773878059375538e-08
1.237500000000000044e+00 3.430548943534272332e-08
1.337500000000000133e+00 3.886357352511915032e-08
1.437500000000000222e+00 4.372595362049457992e-08
1.537500000000000311e+00 4.897332659551697828e-08
1.637500000000000400e+00 5.475165279912742506e-08
1.737500000000000044e+00 6.143798564930051311e-08
1.837500000000000133e+00 6.922920106705756549e-08
1.937500000000000222e+00 7.812144385533395696e-08
2.037500000000000533e+00 8.750901176331875523e-08
2.137500000000000178e+00 9.611596578466686819e-08
2.237499999999999822e+00 1.023861372853513264e-07
2.337500000000000355e+00 1.048312356368111352e-07
2.437500000000000000e+00 1.035601301901942775e-07
2.537500000000000533e+00 9.972783218718040202e-08
2.637500000000000178e+00 9.531235006019074272e-08
2.737499999999999822e+00 9.165424671569500989e-08
2.837500000000000355e+00 8.918123936651953700e-08
2.937500000000000000e+00 8.786609032859233311e-08
3.037500000000000533e+00 8.749130853223682308e-08
3.137500000000000178e+00 8.814365349254659851e-08
3.237499999999999822e+00 8.966843736003501001e-08
3.337500000000000355e+00 9.177004045099583052e-08
3.437500000000000000e+00 9.383038838991871826e-08
3.537499999999999645e+00 9.522145697704880144e-08
3.637500000000000178e+00 9.557942307565729811e-08
3.737499999999999822e+00 9.474071640987027316e-08
3.837500000000000355e+00 9.302601299602006631e-08
3.937500000000000000e+00 9.089288687206167441e-08
4.037500000000000533e+00 8.899585854239650159e-08
4.137500000000000178e+00 8.767332155949889819e-08
4.237499999999999822e+00 8.706932235483208111e-08
4.337500000000000355e+00 8.710567167382409003e-08
4.437500000000000000e+00 8.765276470565704873e-08
4.537500000000000533e+00 8.867083491517623871e-08
4.637500000000000178e+00 9.028484715970023211e-08
4.737499999999999822e+00 9.258598715705912401e-08
4.837500000000000355e+00 9.568683758292534075e-08
4.937500000000000000e+00 9.957807879063922583e-08
5.037500000000000533e+00 1.041108222077809154e-07
5.137500000000000178e+00 1.091001963367251770e-07
5.237499999999999822e+00 1.143704672382739922e-07
5.337500000000000355e+00 1.196191258778645072e-07
5.437500000000000000e+00 1.243514168992985328e-07
5.537500000000000533e+00 1.282499885215589588e-07
5.637500000000000178e+00 1.318351437365059257e-07
5.737499999999999822e+00 1.366820144955287569e-07
5.837500000000000355e+00 1.446350005543037054e-07
5.937500000000000000e+00 1.564739710817601227e-07
6.037500000000000533e+00 1.713133251785567501e-07
6.137500000000000178e+00 1.873473516606794712e-07
6.237499999999999822e+00 2.031375517422343134e-07
6.337500000000000355e+00 2.183141924433422197e-07
6.437500000000000000e+00 2.331830081080570852e-07
