#Energy 	 GSF
0	-nan
0.1	2.64871e-08
0.2	2.75649e-08
0.3	2.8665e-08
0.4	2.97968e-08
0.5	3.09753e-08
0.6	3.22099e-08
0.7	3.35207e-08
0.8	3.49185e-08
0.9	3.64319e-08
1	3.80764e-08
1.1	3.98967e-08
1.2	4.19209e-08
1.3	4.42294e-08
1.4	4.68871e-08
1.5	5.00748e-08
1.6	5.39918e-08
1.7	5.92083e-08
1.8	6.66176e-08
1.9	7.89747e-08
2	1.00008e-07
2.1	1.19776e-07
2.2	1.15213e-07
2.3	1.11901e-07
2.4	1.15825e-07
2.5	1.19105e-07
2.6	1.17747e-07
2.7	1.13878e-07
2.8	1.11077e-07
2.9	1.10706e-07
3	1.12417e-07
3.1	1.15852e-07
3.2	1.2043e-07
3.3	1.25853e-07
3.4	1.31749e-07
3.5	1.37854e-07
3.6	1.43885e-07
3.7	1.49569e-07
3.8	1.54719e-07
3.9	1.59129e-07
4	1.62786e-07
4.1	1.65641e-07
4.2	1.67867e-07
4.3	1.6965e-07
4.4	1.71208e-07
4.5	1.7276e-07
4.6	1.7451e-07
4.7	1.76632e-07
4.8	1.79266e-07
4.9	1.82516e-07
5	1.8646e-07
5.1	1.91153e-07
5.2	1.96631e-07
5.3	2.02922e-07
5.4	2.10046e-07
5.5	2.18051e-07
5.6	2.26964e-07
5.7	2.36766e-07
5.8	2.47478e-07
5.9	2.59126e-07
6	2.71737e-07
6.1	2.85346e-07
6.2	2.99989e-07
6.3	3.15707e-07
6.4	3.32547e-07
6.5	3.50559e-07
6.6	3.69797e-07
6.7	3.9032e-07
6.8	4.12191e-07
6.9	4.35477e-07
7	4.60363e-07
7.1	4.86835e-07
7.2	5.14961e-07
7.3	5.44823e-07
7.4	5.76506e-07
7.5	6.10097e-07
7.6	6.45683e-07
7.7	6.83353e-07
7.8	7.23195e-07
7.9	7.65293e-07
8	8.0973e-07
8.1	8.56583e-07
8.2	9.05918e-07
8.3	9.57796e-07
8.4	1.01234e-06
8.5	1.06963e-06
8.6	1.12954e-06
8.7	1.19206e-06
8.8	1.25712e-06
8.9	1.32464e-06
9	1.39451e-06
9.1	1.46656e-06
9.2	1.54057e-06
9.3	1.61628e-06
9.4	1.69339e-06
9.5	1.77154e-06
9.6	1.8503e-06
9.7	1.92923e-06
9.8	2.00781e-06
9.9	2.0854e-06
10	2.16142e-06
10.1	2.23529e-06
10.2	2.30644e-06
10.3	2.37431e-06
10.4	2.43838e-06
10.5	2.49819e-06
10.6	2.55335e-06
10.7	2.60354e-06
10.8	2.64856e-06
10.9	2.68829e-06
11	2.72274e-06
11.1	2.752e-06
11.2	2.7763e-06
11.3	2.79583e-06
11.4	2.81089e-06
11.5	2.82223e-06
11.6	2.83036e-06
11.7	2.83584e-06
11.8	2.83923e-06
11.9	2.84109e-06
12	2.84194e-06
12.1	2.84227e-06
12.2	2.84249e-06
12.3	2.84293e-06
12.4	2.84383e-06
12.5	2.84531e-06
12.6	2.84734e-06
12.7	2.84977e-06
12.8	2.85227e-06
12.9	2.85431e-06
13	2.85526e-06
13.1	2.85442e-06
13.2	2.85097e-06
13.3	2.84412e-06
13.4	2.83307e-06
13.5	2.81715e-06
13.6	2.79579e-06
13.7	2.76863e-06
13.8	2.7355e-06
13.9	2.69645e-06
14	2.65177e-06
14.1	2.60191e-06
14.2	2.54742e-06
14.3	2.48892e-06
14.4	2.42748e-06
14.5	2.36389e-06
14.6	2.2989e-06
14.7	2.23319e-06
14.8	2.16739e-06
14.9	2.10203e-06
