# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 6.029990346784448718e+01
1.137500000000000178e+00 8.897657338075381972e+01
1.237500000000000044e+00 1.292046110192853519e+02
1.337500000000000133e+00 1.749157137387179262e+02
1.437500000000000222e+00 2.286435564271305907e+02
1.537500000000000311e+00 2.920264838938031744e+02
1.637500000000000400e+00 3.644642088249995595e+02
1.737500000000000044e+00 4.393433880382241341e+02
1.837500000000000133e+00 5.266803272776244285e+02
1.937500000000000222e+00 6.256653871403545963e+02
2.037500000000000533e+00 7.770295467763874058e+02
2.137500000000000178e+00 1.038588292457657872e+03
2.237499999999999822e+00 1.390567525258257547e+03
2.337500000000000355e+00 1.822392357051180852e+03
2.437500000000000000e+00 2.330528583330114998e+03
2.537500000000000533e+00 2.922843611750295622e+03
2.637500000000000178e+00 3.626313160625058572e+03
2.737499999999999822e+00 4.438611444173038763e+03
2.837500000000000355e+00 5.508610110851028367e+03
2.937500000000000000e+00 6.835828086137841638e+03
3.037500000000000533e+00 8.516113682216915549e+03
3.137500000000000178e+00 1.067708967447368195e+04
3.237499999999999822e+00 1.332808108366614397e+04
3.337500000000000355e+00 1.685216008873150349e+04
3.437500000000000000e+00 2.122053035539052871e+04
3.537499999999999645e+00 2.673758893251602422e+04
3.637500000000000178e+00 3.386519409327848552e+04
3.737499999999999822e+00 4.267113238535199343e+04
3.837500000000000355e+00 5.418199613715490705e+04
3.937500000000000000e+00 6.869404586176277371e+04
4.037500000000000533e+00 8.731532196138857398e+04
4.137500000000000178e+00 1.115602054081768001e+05
4.237499999999999822e+00 1.419027624705403869e+05
4.337500000000000355e+00 1.810601970053998230e+05
4.437500000000000000e+00 2.302544418008215434e+05
4.537500000000000533e+00 2.931560498170079081e+05
4.637500000000000178e+00 3.745990527408206253e+05
4.737499999999999822e+00 4.758259355368226534e+05
4.837500000000000355e+00 6.042625476590282051e+05
4.937500000000000000e+00 7.639417163107601227e+05
5.037500000000000533e+00 9.701298523608704563e+05
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.197216204681355506e+06
5.195026315789474047e+00 1.472718696503031300e+06
5.273789473684210805e+00 1.805982382291899296e+06
5.352552631578947562e+00 2.207973440329768695e+06
5.431315789473684319e+00 2.691529719705294352e+06
5.510078947368421076e+00 3.271645416544259060e+06
5.588842105263157833e+00 3.965793922071378212e+06
5.667605263157894591e+00 4.794293294278197922e+06
5.746368421052631348e+00 5.780719248730618507e+06
5.825131578947368993e+00 6.952371044745039195e+06
5.903894736842104862e+00 8.340796163278273307e+06
5.982657894736842508e+00 9.982380235028704628e+06
6.061421052631578377e+00 1.191900928417662904e+07
6.140184210526316022e+00 1.419881200779182091e+07
6.218947368421052779e+00 1.687699051622486487e+07
6.297710526315789537e+00 2.001674871896251664e+07
6.376473684210526294e+00 2.369032835678170621e+07
6.455236842105263051e+00 2.798016355808611214e+07
6.533999999999999808e+00 3.298016573868373409e+07
