# #E, E1, M1
0.000000000000000000e+00 1.154619470232917069e-08 0.000000000000000000e+00
4.000000000000000083e-02 1.159889360670503770e-08 3.728768384320730944e-10
8.000000000000000167e-02 1.165176839400870237e-08 7.467086275470586525e-10
1.199999999999999956e-01 1.170499501848636634e-08 1.122456396231870081e-09
1.600000000000000033e-01 1.175874957706675421e-08 1.501093395882379988e-09
2.000000000000000111e-01 1.181320838081668391e-08 1.883611377850123071e-09
2.399999999999999911e-01 1.186854802653393088e-08 2.271027072961154124e-09
2.800000000000000266e-01 1.192494546852333427e-08 2.664388944896345887e-09
3.200000000000000067e-01 1.198257809060226707e-08 3.064784293078229938e-09
3.599999999999999867e-01 1.204162377838179889e-08 3.473346785596409064e-09
4.000000000000000222e-01 1.210226099187010358e-08 3.891264508659037339e-09
4.400000000000000022e-01 1.216466883844501598e-08 4.319788626118267958e-09
4.799999999999999822e-01 1.222902714624287062e-08 4.760242750811513545e-09
5.200000000000000178e-01 1.229551653801125478e-08 5.214033138798922546e-09
5.600000000000000533e-01 1.236431850547360435e-08 5.682659828040797663e-09
5.999999999999999778e-01 1.243561548425412190e-08 6.167728854575540258e-09
6.400000000000000133e-01 1.250959092941196126e-08 6.670965691679192983e-09
6.800000000000000488e-01 1.258642939163417709e-08 7.194230070543369137e-09
7.199999999999999734e-01 1.266631659413751034e-08 7.739532354256831053e-09
7.600000000000000089e-01 1.274943951032979677e-08 8.309051649623959634e-09
8.000000000000000444e-01 1.283598644228236658e-08 8.905155852548144981e-09
8.399999999999999689e-01 1.292614710006561691e-08 9.530423830789312860e-09
8.800000000000000044e-01 1.302011268200071496e-08 1.018766995059641027e-08
9.200000000000000400e-01 1.311807595588113897e-08 1.087997114774392316e-08
9.599999999999999645e-01 1.322023134121879493e-08 1.161069672420403080e-08
1.000000000000000000e+00 1.332677499257021103e-08 1.238354101248136418e-08
1.040000000000000036e+00 1.343790488399944051e-08 1.320255898130791437e-08
1.080000000000000071e+00 1.355382089473523789e-08 1.407220474611798527e-08
1.120000000000000107e+00 1.367472489608123683e-08 1.499737277778392551e-08
1.159999999999999920e+00 1.380082083963894469e-08 1.598344134919893760e-08
1.199999999999999956e+00 1.393231484690462287e-08 1.703631738838749899e-08
1.239999999999999991e+00 1.406941530030236279e-08 1.816248137434901542e-08
1.280000000000000027e+00 1.421233293571697598e-08 1.936903015841136980e-08
1.320000000000000062e+00 1.436128093659172462e-08 2.066371454148715322e-08
1.360000000000000098e+00 1.451647502965734156e-08 2.205496698578570257e-08
1.400000000000000133e+00 1.467813358236031426e-08 2.355191286213677866e-08
1.439999999999999947e+00 1.484647770205996209e-08 2.516435597888424340e-08
1.479999999999999982e+00 1.502173133706551573e-08 2.690272563224081820e-08
1.520000000000000018e+00 1.520412137958605997e-08 2.877796788410464195e-08
1.560000000000000053e+00 1.539387777066801947e-08 3.080135806892009369e-08
1.600000000000000089e+00 1.559123360719677454e-08 3.298420462201741225e-08
