#Energy 	 NLD
1.046	58.6389
1.06291	63.13
1.07982	67.6209
1.09672	72.1114
1.11363	76.6016
1.13053	81.0915
1.14744	86.7095
1.16435	93.118
1.18125	99.5261
1.19816	105.934
1.21506	112.341
1.23197	118.747
1.24888	126.106
1.26578	133.926
1.28269	141.746
1.29959	149.565
1.3165	157.384
1.33341	165.201
1.35031	174.877
1.36722	185.146
1.38413	195.414
1.40103	205.681
1.41794	215.947
1.43484	226.212
1.45175	239.104
1.46866	252.485
1.48556	265.864
1.50247	279.242
1.51937	292.619
1.53628	305.994
1.55319	321.962
1.57009	338.129
1.587	354.295
1.60391	370.458
1.62081	386.62
1.63772	402.792
1.65462	419.854
1.67153	436.915
1.68844	453.973
1.70534	471.029
1.72225	488.083
1.73915	505.384
1.75606	524.987
1.77297	544.588
1.78987	564.185
1.80678	583.78
1.82368	603.373
1.84059	623.508
1.8575	646.08
1.8744	668.648
1.89131	691.214
1.90822	713.776
1.92512	736.335
1.94203	762.211
1.95893	797.161
1.97584	832.107
1.99275	867.048
2.00965	901.983
2.02656	936.913
2.04346	980.945
2.06037	1041.68
2.07728	1102.4
2.09418	1163.12
2.11109	1223.82
2.128	1284.52
2.1449	1354.66
2.16181	1436.93
2.17871	1519.2
2.19562	1601.44
2.21253	1683.68
2.22943	1765.9
2.24634	1856.45
2.26324	1954.6
2.28015	2052.74
2.29706	2150.85
2.31396	2248.95
2.33087	2347.03
2.34777	2451.33
2.36468	2559.62
2.38159	2667.9
2.39849	2776.16
2.4154	2884.4
2.43231	2992.62
2.44921	3107.34
2.46612	3224.93
2.48302	3342.5
2.49993	3460.05
2.51684	3577.58
2.53374	3695.08
2.55065	3825.74
2.56755	3960.15
2.58446	4094.52
2.60137	4228.87
2.61827	4363.19
2.63518	4497.49
2.65208	4649.52
2.66899	4804.36
2.6859	4959.17
2.7028	5113.94
2.71971	5268.68
2.73662	5423.39
2.75352	5629.81
2.77043	5839.05
2.78733	6048.24
2.80424	6257.4
2.82115	6466.5
2.83805	6677.36
2.85496	6941.51
2.87186	7205.6
2.88877	7469.63
2.90568	7733.61
2.92258	7997.53
2.93949	8270.07
2.9564	8607.63
2.9733	8945.12
2.99021	9282.54
3.00711	9619.88
3.02402	9957.14
3.04093	10314.1
3.05783	10748.8
3.07474	11183.4
3.09164	11617.8
3.10855	12052.2
3.12546	12486.5
3.14236	12948.1
3.15927	13477.5
3.17617	14006.8
3.19308	14536
3.20999	15065
3.22689	15594
3.2438	16184.2
3.26071	16877.8
3.27761	17571.2
3.29452	18264.4
3.31142	18957.5
3.32833	19650.4
3.34524	20411
3.36214	21251.9
3.37905	22092.6
3.39595	22933.1
