# E gsf_sum
1.375000000000000666e-01 9.536031198686187555e-09
2.375000000000000444e-01 1.080957304583541452e-08
3.375000000000001332e-01 1.213833173838176681e-08
4.375000000000002220e-01 1.354321714800990748e-08
5.375000000000000888e-01 1.505757437510416137e-08
6.375000000000001776e-01 1.670533957366482130e-08
7.375000000000000444e-01 1.853239747291970099e-08
8.375000000000001332e-01 2.056957298979395222e-08
9.375000000000002220e-01 2.288254494569015428e-08
1.037500000000000089e+00 2.551403715625713210e-08
1.137500000000000178e+00 2.855927435077980808e-08
1.237500000000000044e+00 3.207768712439450483e-08
1.337500000000000133e+00 3.620237850463303074e-08
1.437500000000000222e+00 4.100518143643294889e-08
1.537500000000000311e+00 4.664258392871930146e-08
1.637500000000000400e+00 5.315022799831374536e-08
1.737500000000000044e+00 6.376761281915271326e-08
1.837500000000000133e+00 7.082274292552820726e-08
1.937500000000000222e+00 7.935108150183974048e-08
2.037500000000000533e+00 8.818302520907485060e-08
2.137500000000000178e+00 9.572487195252601761e-08
2.237499999999999822e+00 1.007403393333426030e-07
2.337500000000000355e+00 1.023716485448352345e-07
2.437500000000000000e+00 1.009476273024853869e-07
2.537500000000000533e+00 9.729655027626495386e-08
2.637500000000000178e+00 9.292592708684015469e-08
2.737499999999999822e+00 8.918347064367694263e-08
2.837500000000000355e+00 8.682193213549782206e-08
2.937500000000000000e+00 8.602694703986686262e-08
3.037500000000000533e+00 8.645631252836379697e-08
3.137500000000000178e+00 8.783301425072860896e-08
3.237499999999999822e+00 8.971861771600155397e-08
3.337500000000000355e+00 9.158765196413211939e-08
3.437500000000000000e+00 9.281812653973476555e-08
3.537499999999999645e+00 9.292846475199146888e-08
3.637500000000000178e+00 9.197066390816534521e-08
3.737499999999999822e+00 9.023219349506002186e-08
3.837500000000000355e+00 8.823409271758475068e-08
3.937500000000000000e+00 8.641022814148001648e-08
4.037500000000000533e+00 8.514135377491819454e-08
4.137500000000000178e+00 8.442043671904663048e-08
4.237499999999999822e+00 8.434045277470727682e-08
4.337500000000000355e+00 8.488250877141240846e-08
4.437500000000000000e+00 8.598684077693699006e-08
4.537500000000000533e+00 8.752870519295121131e-08
4.637500000000000178e+00 8.939399761837869476e-08
4.737499999999999822e+00 9.145707125826533760e-08
4.837500000000000355e+00 9.378245420347674746e-08
4.937500000000000000e+00 9.649586089420329988e-08
5.037500000000000533e+00 9.963760066912041336e-08
5.137500000000000178e+00 1.031853016619286805e-07
5.237499999999999822e+00 1.072191702992510592e-07
5.337500000000000355e+00 1.119060009607803760e-07
5.437500000000000000e+00 1.171835117319417221e-07
5.537500000000000533e+00 1.226020951635657435e-07
5.637500000000000178e+00 1.278478685896079799e-07
5.737499999999999822e+00 1.335960037106219819e-07
5.837500000000000355e+00 1.415585178266809148e-07
5.937500000000000000e+00 1.532273495903984234e-07
6.037500000000000533e+00 1.684800644668247962e-07
6.137500000000000178e+00 1.855921616861039799e-07
6.237499999999999822e+00 2.026278681267156828e-07
6.337500000000000355e+00 2.187544695033406288e-07
6.437500000000000000e+00 2.341635680883692264e-07
