# #E, E1, M1
0.000000000000000000e+00 8.490077480582166874e-09 0.000000000000000000e+00
4.000000000000000083e-02 8.529018633199460451e-09 4.482416090662880695e-10
8.000000000000000167e-02 8.568140935018586619e-09 8.977058090067687143e-10
1.199999999999999956e-01 8.607625609653506933e-09 1.349623193247111021e-09
1.600000000000000033e-01 8.647654029590779664e-09 1.805240446521969397e-09
2.000000000000000111e-01 8.688407790746804366e-09 2.265828607146482520e-09
2.399999999999999911e-01 8.730068787170278002e-09 2.732691592315484762e-09
2.800000000000000266e-01 8.772819285938512429e-09 3.207175079256129385e-09
3.200000000000000067e-01 8.816842002296403661e-09 3.690675839477047313e-09
3.599999999999999867e-01 8.862320175087050122e-09 4.184651628871087104e-09
4.000000000000000222e-01 8.909437642523308285e-09 4.690631743013232711e-09
4.400000000000000022e-01 8.958378918349871853e-09 5.210228354596330816e-09
4.799999999999999822e-01 9.009329268445814695e-09 5.745148758465103937e-09
5.200000000000000178e-01 9.062474787917933119e-09 6.297208658975077973e-09
5.600000000000000533e-01 9.118002478735691277e-09 6.868346644147282266e-09
5.999999999999999778e-01 9.176100327959036690e-09 7.460640000894365044e-09
6.400000000000000133e-01 9.236957386610897178e-09 8.076322034832142875e-09
6.800000000000000488e-01 9.300763849246809073e-09 8.717801065939509995e-09
7.199999999999999734e-01 9.367711134274675820e-09 9.387681276252713736e-09
7.600000000000000089e-01 9.437991965078407170e-09 1.008878558596683925e-08
8.000000000000000444e-01 9.511800451999908804e-09 1.082418072706424904e-08
8.399999999999999689e-01 9.589332175234661507e-09 1.159720466510575672e-08
8.800000000000000044e-01 9.670784268696982677e-09 1.241149648482593799e-08
9.200000000000000400e-01 9.756355504911957934e-09 1.327102879637129044e-08
9.599999999999999645e-01 9.846246380991933892e-09 1.418014262637960307e-08
1.000000000000000000e+00 9.940659205756523624e-09 1.514358461792985752e-08
1.040000000000000036e+00 1.003979818805608711e-08 1.616654615712791314e-08
1.080000000000000071e+00 1.014386952635973593e-08 1.725470374674343826e-08
1.120000000000000107e+00 1.025308149967017536e-08 1.841425952553411953e-08
1.159999999999999920e+00 1.036764455982879226e-08 1.965198024166674829e-08
1.199999999999999956e+00 1.048777142527580818e-08 2.097523217263625533e-08
1.239999999999999991e+00 1.061367717633156477e-08 2.239200836892438838e-08
1.280000000000000027e+00 1.074557935206652198e-08 2.391094309265796960e-08
1.320000000000000062e+00 1.088369804882893452e-08 2.554130631503540415e-08
1.360000000000000098e+00 1.102825602050078650e-08 2.729296850039702336e-08
1.400000000000000133e+00 1.117947878055412115e-08 2.917632250721050815e-08
1.439999999999999947e+00 1.133759470598166580e-08 3.120214515963590589e-08
1.479999999999999982e+00 1.150283514317733000e-08 3.338137583037090593e-08
1.520000000000000018e+00 1.167543451584400095e-08 3.572478330711451032e-08
1.560000000000000053e+00 1.185563043500804713e-08 3.824248564067325343e-08
1.600000000000000089e+00 1.204366381122178254e-08 4.094328141240390924e-08
1.640000000000000124e+00 1.223977896903736056e-08 4.383374649261851241e-08
1.679999999999999938e+00 1.244422376383759326e-08 4.691705060391459131e-08
1.719999999999999973e+00 1.265724970111153947e-08 5.019145710221881045e-08
1.760000000000000009e+00 1.287911205826485867e-08 5.364849338669276182e-08
1.800000000000000044e+00 1.311007000905756856e-08 5.727082585728270526e-08
1.840000000000000080e+00 1.335038675076413006e-08 6.102995021293037341e-08
1.880000000000000115e+00 1.360032963415350187e-08 6.488391999927859411e-08
1.919999999999999929e+00 1.386017029638949168e-08 6.877547969774758171e-08
1.959999999999999964e+00 1.413018479695448723e-08 7.263112216931132755e-08
2.000000000000000000e+00 1.441065375670257380e-08 7.636170745830988888e-08
2.040000000000000036e+00 1.470186250015106873e-08 7.986528732611205515e-08
2.080000000000000071e+00 1.500410120112261550e-08 8.303259147173308144e-08
2.120000000000000107e+00 1.531766503185314812e-08 8.575518761007527445e-08
2.160000000000000142e+00 1.564285431568453363e-08 8.793565310245484145e-08
2.200000000000000178e+00 1.597997468346394325e-08 8.949834735725530950e-08
2.240000000000000213e+00 1.632933723377584422e-08 9.039882913457731210e-08
2.280000000000000249e+00 1.669125869713605434e-08 9.062991493737424279e-08
2.319999999999999840e+00 1.706606160428112806e-08 9.022296623141961428e-08
2.359999999999999876e+00 1.745407445869057134e-08 8.924408898232947016e-08
2.399999999999999911e+00 1.785563191348309825e-08 8.778614214649609688e-08
2.439999999999999947e+00 1.827107495283290354e-08 8.595833397824022826e-08
2.479999999999999982e+00 1.870075107805578334e-08 8.387545868842742621e-08
2.520000000000000018e+00 1.914501449852011105e-08 8.164850104981886005e-08
2.560000000000000053e+00 1.960422632754177165e-08 7.937765158880606182e-08
2.600000000000000089e+00 2.007875478342757069e-08 7.714803450916439664e-08
2.640000000000000124e+00 2.056897539583636242e-08 7.502787936879900521e-08
2.680000000000000160e+00 2.107527121763234626e-08 7.306855398699383636e-08
2.720000000000000195e+00 2.159803304241068804e-08 7.130579579244432166e-08
2.760000000000000231e+00 2.213765962788074802e-08 6.976155309009920500e-08
2.800000000000000266e+00 2.269455792529819614e-08 6.844599380885085002e-08
2.839999999999999858e+00 2.326914331514337659e-08 6.735939680776167585e-08
2.879999999999999893e+00 2.386183984924888850e-08 6.649377687985063771e-08
2.919999999999999929e+00 2.447308049958636439e-08 6.583419773112638054e-08
2.959999999999999964e+00 2.510330741392832051e-08 6.535979842486044302e-08
3.000000000000000000e+00 2.575297217860815657e-08 6.504460407947647007e-08
3.040000000000000036e+00 2.642253608860807898e-08 6.485821730927335867e-08
3.080000000000000071e+00 2.711247042521187206e-08 6.476649733353097755e-08
3.120000000000000107e+00 2.782325674146707150e-08 6.473233063644468085e-08
3.160000000000000142e+00 2.855538715570837681e-08 6.471658035901976681e-08
3.200000000000000178e+00 2.930936465340227579e-08 6.467927046211487140e-08
3.240000000000000213e+00 3.008570339758067898e-08 6.458101554938708089e-08
3.280000000000000249e+00 3.088492904814000134e-08 6.438465154641402754e-08
3.320000000000000284e+00 3.170757909029022800e-08 6.405696383494750821e-08
3.359999999999999876e+00 3.255420317244783815e-08 6.357035941879267487e-08
3.399999999999999911e+00 3.342536345387519633e-08 6.290430128737106674e-08
3.439999999999999947e+00 3.432163496237835733e-08 6.204632697958463343e-08
3.479999999999999982e+00 3.524360596238488935e-08 6.099251333000925334e-08
3.520000000000000018e+00 3.619187833373329558e-08 5.974731990747744802e-08
3.560000000000000053e+00 3.716706796151536217e-08 5.832283015365770349e-08
3.600000000000000089e+00 3.816980513732350700e-08 5.673749219881997242e-08
3.640000000000000124e+00 3.920073497226546091e-08 5.501452250525173161e-08
3.680000000000000160e+00 4.026051782212018019e-08 5.318016345474879466e-08
3.720000000000000195e+00 4.134982972501899414e-08 5.126197899188273367e-08
3.760000000000000231e+00 4.246936285204845192e-08 4.928733747241126004e-08
3.800000000000000266e+00 4.361982597118276813e-08 4.728218012179051050e-08
3.839999999999999858e+00 4.480194492496496972e-08 4.527011987302001330e-08
3.879999999999999893e+00 4.601646312236937281e-08 4.327186893476767652e-08
3.919999999999999929e+00 4.726414204528935400e-08 4.130495991841718667e-08
3.959999999999999964e+00 4.854576177010757556e-08 3.938370609314876517e-08
4.000000000000000000e+00 4.986212150481896641e-08 3.751933960499917097e-08
4.000000000000000000e+00 4.986212150481896641e-08 3.751933960499917097e-08
4.107382550335570315e+00 5.357417793748524055e-08 3.285265070589224831e-08
4.214765100671140630e+00 5.755916186767345387e-08 2.873149171308822130e-08
4.322147651006710944e+00 6.183479332880039020e-08 2.515781232081799601e-08
4.429530201342282147e+00 6.642002012626114146e-08 2.208995568559675932e-08
4.536912751677852462e+00 7.133511623064850796e-08 1.946838511155047349e-08
