#Energy 	 NLD
1.046	52.0782
1.06291	56.1128
1.07982	60.1471
1.09672	64.1812
1.11363	68.215
1.13053	72.2485
1.14744	77.4167
1.16435	83.3798
1.18125	89.3426
1.19816	95.3049
1.21506	101.267
1.23197	107.228
1.24888	114.457
1.26578	122.303
1.28269	130.147
1.29959	137.991
1.3165	145.834
1.33341	153.677
1.35031	164.057
1.36722	175.248
1.38413	186.438
1.40103	197.627
1.41794	208.814
1.43484	220.001
1.45175	234.713
1.46866	250.08
1.48556	265.446
1.50247	280.811
1.51937	296.174
1.53628	311.535
1.55319	329.808
1.57009	348.305
1.587	366.8
1.60391	385.293
1.62081	403.785
1.63772	422.269
1.65462	440.446
1.67153	458.621
1.68844	476.794
1.70534	494.964
1.72225	513.132
1.73915	531.354
1.75606	550.103
1.77297	568.85
1.78987	587.594
1.80678	606.335
1.82368	625.073
1.84059	644.129
1.8575	664.613
1.8744	685.093
1.89131	705.571
1.90822	726.046
1.92512	746.517
1.94203	770.413
1.95893	803.679
1.97584	836.939
1.99275	870.194
2.00965	903.445
2.02656	936.69
2.04346	979.489
2.06037	1039.82
2.07728	1100.14
2.09418	1160.45
2.11109	1220.75
2.128	1281.04
2.1449	1351.1
2.16181	1433.72
2.17871	1516.32
2.19562	1598.9
2.21253	1681.47
2.22943	1764.03
2.24634	1854.15
2.26324	1951.18
2.28015	2048.18
2.29706	2145.17
2.31396	2242.15
2.33087	2339.1
2.34777	2440.54
2.36468	2544.87
2.38159	2649.19
2.39849	2753.48
2.4154	2857.75
2.43231	2962.01
2.44921	3071.84
2.46612	3184.14
2.48302	3296.42
2.49993	3408.68
2.51684	3520.91
2.53374	3633.12
2.55065	3758.96
2.56755	3888.68
2.58446	4018.37
2.60137	4148.04
2.61827	4277.68
2.63518	4407.3
2.65208	4554.44
2.66899	4704.34
2.6859	4854.21
2.7028	5004.05
2.71971	5153.86
2.73662	5303.64
2.75352	5500.82
2.77043	5700.58
2.78733	5900.3
2.80424	6099.97
2.82115	6299.6
2.83805	6500.74
2.85496	6747.65
2.87186	6994.5
2.88877	7241.3
2.90568	7488.05
2.92258	7734.75
2.93949	7989.07
2.9564	8300.86
2.9733	8612.59
2.99021	8924.26
3.00711	9235.85
3.02402	9547.38
3.04093	9877.09
3.05783	10278.6
3.07474	10680
3.09164	11081.3
3.10855	11482.5
3.12546	11883.7
3.14236	12310.7
3.15927	12801.9
3.17617	13293
3.19308	13784
3.20999	14274.9
3.22689	14765.7
3.2438	15315.2
3.26071	15963.7
3.27761	16612
3.29452	17260.2
3.31142	17908.3
3.32833	18556.2
3.34524	19270.1
3.36214	20062.5
3.37905	20854.7
3.39595	21646.7
3.41286	22438.4
3.42977	23230
3.44667	24128.4
3.46358	25116.6
3.48049	26104.6
3.49739	27092.3
3.5143	28079.8
3.5312	29067.1
3.54811	30228.6
3.56502	31493.5
3.58192	32758.1
3.59883	34022.4
3.61573	35286.4
3.63264	36550.1
3.64955	38011.8
3.66645	39553.3
3.68336	41094.4
3.70026	42635.2
3.71717	44175.5
3.73408	45715.4
3.75098	47609.7
3.76789	49593.5
3.7848	51576.8
3.8017	53559.5
