# E gsf_sum
1.375000000000000666e-01 9.824329816320885668e-09
2.375000000000000444e-01 1.113637409140718136e-08
3.375000000000001332e-01 1.250530455837935328e-08
4.375000000000002220e-01 1.395266324783346207e-08
5.375000000000000888e-01 1.551280336783986782e-08
6.375000000000001776e-01 1.721038472356631457e-08
7.375000000000000444e-01 1.909267925698471190e-08
8.375000000000001332e-01 2.119144380111330254e-08
9.375000000000002220e-01 2.357434281614124839e-08
1.037500000000000089e+00 2.628539176795792741e-08
1.137500000000000178e+00 2.942269427301268160e-08
1.237500000000000044e+00 3.304747766536457112e-08
1.337500000000000133e+00 3.729686901756379163e-08
1.437500000000000222e+00 4.224487296823207694e-08
1.537500000000000311e+00 4.805270855912243810e-08
1.637500000000000400e+00 5.475709535640229359e-08
1.737500000000000044e+00 6.722970145687809822e-08
1.837500000000000133e+00 7.566450799071761565e-08
1.937500000000000222e+00 8.526824747323720400e-08
2.037500000000000533e+00 9.484385392187944688e-08
2.137500000000000178e+00 1.027682245932403193e-07
2.237499999999999822e+00 1.078220662597293245e-07
2.337500000000000355e+00 1.092012269018024538e-07
2.437500000000000000e+00 1.073423636644733812e-07
2.537500000000000533e+00 1.031640869697330853e-07
2.637500000000000178e+00 9.827289935121728836e-08
2.737499999999999822e+00 9.409032941639808131e-08
2.837500000000000355e+00 9.139702494652227622e-08
2.937500000000000000e+00 9.036423297984666341e-08
3.037500000000000533e+00 9.060845981757526937e-08
3.137500000000000178e+00 9.182841220314366600e-08
3.237499999999999822e+00 9.356730786732963868e-08
3.337500000000000355e+00 9.528194326337863237e-08
3.437500000000000000e+00 9.632877579499742989e-08
3.537499999999999645e+00 9.621590040207277643e-08
3.637500000000000178e+00 9.501188483463386072e-08
3.737499999999999822e+00 9.302730268239478284e-08
3.837500000000000355e+00 9.080376719177969307e-08
3.937500000000000000e+00 8.878319364897826784e-08
4.037500000000000533e+00 8.734916603255735592e-08
4.137500000000000178e+00 8.648778207676915359e-08
4.237499999999999822e+00 8.628891701846231654e-08
4.337500000000000355e+00 8.672807705545769105e-08
4.437500000000000000e+00 8.774095422650718134e-08
4.537500000000000533e+00 8.920146907517094453e-08
4.637500000000000178e+00 9.099911932742315465e-08
4.737499999999999822e+00 9.301338441118639084e-08
4.837500000000000355e+00 9.531583754004010517e-08
4.937500000000000000e+00 9.803707384398599085e-08
5.037500000000000533e+00 1.012160785954733631e-07
5.137500000000000178e+00 1.048210152866388454e-07
5.237499999999999822e+00 1.089184975278158351e-07
5.337500000000000355e+00 1.136662401104974371e-07
5.437500000000000000e+00 1.190009439299902818e-07
5.537500000000000533e+00 1.244696685804180135e-07
5.637500000000000178e+00 1.297323006575861038e-07
5.737499999999999822e+00 1.354031811028342795e-07
5.837500000000000355e+00 1.431186027742678257e-07
5.937500000000000000e+00 1.543324987534530534e-07
6.037500000000000533e+00 1.689683817332245023e-07
6.137500000000000178e+00 1.854179867770774509e-07
6.237499999999999822e+00 2.018643782533749590e-07
6.337500000000000355e+00 2.175434348928424385e-07
6.437500000000000000e+00 2.326715840566305916e-07
