# E[MeV] nld[MeV^-1]
1.037500000000000089e+00 4.998654689285184816e+01
1.137500000000000178e+00 7.383066725235750027e+01
1.237500000000000044e+00 1.090797905067361171e+02
1.337500000000000133e+00 1.554665840401674473e+02
1.437500000000000222e+00 2.216526971845070761e+02
1.537500000000000311e+00 3.125698247796720466e+02
1.637500000000000400e+00 4.220502565923347902e+02
1.737500000000000044e+00 5.296923148726705222e+02
1.837500000000000133e+00 6.407940184994924948e+02
1.937500000000000222e+00 7.622503516363789231e+02
2.037500000000000533e+00 9.594909199543319573e+02
2.137500000000000178e+00 1.317210681505555840e+03
2.237499999999999822e+00 1.807289356202813451e+03
2.337500000000000355e+00 2.383244921473703016e+03
2.437500000000000000e+00 3.003106305657831399e+03
2.537500000000000533e+00 3.670880784049019894e+03
2.637500000000000178e+00 4.442796382996244574e+03
2.737499999999999822e+00 5.335478070205293079e+03
2.837500000000000355e+00 6.525494395247679677e+03
2.937500000000000000e+00 7.996998637509647779e+03
3.037500000000000533e+00 9.856307099864348856e+03
3.137500000000000178e+00 1.225185048137371086e+04
3.237499999999999822e+00 1.518483151088229351e+04
3.337500000000000355e+00 1.905892941204167801e+04
3.437500000000000000e+00 2.379610764414285222e+04
3.537499999999999645e+00 2.970852031156539306e+04
3.637500000000000178e+00 3.728134978760677768e+04
3.737499999999999822e+00 4.651760212380217854e+04
3.837500000000000355e+00 5.841205381011402642e+04
3.937500000000000000e+00 7.317967265481375216e+04
4.037500000000000533e+00 9.201978029119063285e+04
4.137500000000000178e+00 1.166472667718955345e+05
4.237499999999999822e+00 1.476908912202370411e+05
4.337500000000000355e+00 1.879023557309669559e+05
4.437500000000000000e+00 2.378933788923557440e+05
4.537500000000000533e+00 3.003786736841265811e+05
4.637500000000000178e+00 3.804586411941143451e+05
4.737499999999999822e+00 4.834252396500254981e+05
4.837500000000000355e+00 6.248564182615628233e+05
4.937500000000000000e+00 8.143212089978064178e+05
5.037500000000000533e+00 1.059421135506357765e+06
6.533999999999999808e+00 3.298016573868373409e+07
5.116263157894737290e+00 1.300560545171963982e+06
5.195026315789474047e+00 1.591592403321341844e+06
5.273789473684210805e+00 1.941839950857975055e+06
5.352552631578947562e+00 2.362187825892196968e+06
5.431315789473684319e+00 2.865314233123023063e+06
5.510078947368421076e+00 3.465953410747019108e+06
5.588842105263157833e+00 4.181191814258226659e+06
5.667605263157894591e+00 5.030801763921487145e+06
5.746368421052631348e+00 6.037616656038451940e+06
5.825131578947368993e+00 7.227952219013680704e+06
5.903894736842104862e+00 8.632078705380484462e+06
5.982657894736842508e+00 1.028474935215364583e+07
6.061421052631578377e+00 1.222579091601145826e+07
6.140184210526316022e+00 1.450076259883523919e+07
6.218947368421052779e+00 1.716169022509247810e+07
6.297710526315789537e+00 2.026788311758312583e+07
6.376473684210526294e+00 2.388684174440097809e+07
6.455236842105263051e+00 2.809526487992687523e+07
6.533999999999999808e+00 3.298016573868373409e+07
