#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
0    0.0066311   0.0098609   
1    0.0290578   0.0805877   
2    0.0378816   0.1694225   
3    0.0410275   0.2798190   
4    0.0257782   0.2232385   
5    0.0184009   0.0417921   
6    0.0039098   0.0274559   
7    0.0025971   0.0007741   
8    0.0007200   0.0004842   
9    0.0004146   0.0000947   
10   0.0000000   0.0000518   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.3500515   Entries 13
0    0.0061593   0.0096084   
1    0.0270288   0.0790019   
2    0.0354400   0.1714490   
3    0.0378210   0.2903702   
4    0.0223858   0.2301003   
5    0.0159791   0.0402229   
6    0.0034417   0.0263967   
7    0.0022906   0.0007059   
8    0.0006507   0.0004412   
9    0.0003745   0.0000855   
10   0.0000000   0.0000467   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.2500515   Entries 13
0    0.0056984   0.0093579   
1    0.0250263   0.0773696   
2    0.0329527   0.1733392   
3    0.0346761   0.3006655   
4    0.0193078   0.2367209   
5    0.0137852   0.0386512   
6    0.0030186   0.0253369   
7    0.0020125   0.0006412   
8    0.0005846   0.0004004   
9    0.0003362   0.0000769   
10   0.0000000   0.0000420   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.1500515   Entries 13
0    0.0052584   0.0091217   
1    0.0230905   0.0757913   
2    0.0304621   0.1751280   
3    0.0316358   0.3104711   
4    0.0165651   0.2429430   
5    0.0118323   0.0371201   
6    0.0026401   0.0243052   
7    0.0017629   0.0005806   
8    0.0005227   0.0003623   
9    0.0003003   0.0000689   
10   0.0000000   0.0000376   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.0500515   Entries 13
0    0.0048486   0.0089153   
1    0.0212598   0.0743873   
2    0.0280133   0.1768530   
3    0.0287425   0.3194999   
4    0.0141655   0.2485837   
5    0.0101247   0.0357187   
6    0.0023059   0.0233594   
7    0.0015419   0.0005250   
8    0.0004656   0.0003274   
9    0.0002673   0.0000616   
10   0.0000000   0.0000336   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.9500515   Entries 13
0    0.0044833   0.0087666   
1    0.0196003   0.0733971   
2    0.0257029   0.1786236   
3    0.0260847   0.3272696   
4    0.0121273   0.2533209   
5    0.0086747   0.0345203   
6    0.0020189   0.0225476   
7    0.0013516   0.0004758   
8    0.0004150   0.0002965   
9    0.0002381   0.0000553   
10   0.0000000   0.0000301   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.8500515   Entries 13
0    0.0041786   0.0087154   
1    0.0181866   0.0731594   
2    0.0236432   0.1805999   
3    0.0237612   0.3331192   
4    0.0104575   0.2567252   
5    0.0074870   0.0336641   
6    0.0017813   0.0219602   
7    0.0011938   0.0004344   
8    0.0003721   0.0002705   
9    0.0002133   0.0000499   
10   0.0000000   0.0000271   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.7500515   Entries 13
0    0.0039464   0.0088133   
1    0.0170714   0.0741072   
2    0.0219102   0.1830097   
3    0.0218337   0.3362877   
4    0.0091408   0.2583217   
5    0.0065509   0.0333579   
6    0.0015937   0.0217318   
7    0.0010690   0.0004022   
8    0.0003379   0.0002503   
9    0.0001935   0.0000457   
10   0.0000000   0.0000248   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.6500515   Entries 13
0    0.0038074   0.0091396   
1    0.0163473   0.0769156   
2    0.0206338   0.1862189   
3    0.0204135   0.3356228   
4    0.0081770   0.2573732   
5    0.0058663   0.0338484   
6    0.0014588   0.0220215   
7    0.0009792   0.0003811   
8    0.0003134   0.0002370   
9    0.0001793   0.0000428   
10   0.0000000   0.0000232   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.5500515   Entries 13
0    0.0037759   0.0097876   
1    0.0160748   0.0823740   
2    0.0198895   0.1906932   
3    0.0195587   0.3299237   
4    0.0075453   0.2531248   
5    0.0054190   0.0353976   
6    0.0013765   0.0229976   
7    0.0009245   0.0003722   
8    0.0002992   0.0002313   
9    0.0001710   0.0000413   
10   0.0000000   0.0000224   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.4500515   Entries 13
0    0.0038577   0.0108544   
1    0.0162745   0.0912980   
2    0.0196932   0.1969616   
3    0.0192708   0.3181413   
4    0.0072094   0.2449155   
5    0.0051834   0.0381839   
6    0.0013435   0.0247732   
7    0.0009027   0.0003761   
8    0.0002950   0.0002336   
9    0.0001685   0.0000413   
10   0.0000000   0.0000224   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.3500515   Entries 13
0    0.0040324   0.0124067   
1    0.0168540   0.1042332   
2    0.0199167   0.2054562   
3    0.0194156   0.2998867   
4    0.0070941   0.2325265   
5    0.0051063   0.0422644   
6    0.0013493   0.0273819   
7    0.0009069   0.0003911   
8    0.0002991   0.0002429   
9    0.0001706   0.0000424   
10   0.0000000   0.0000230   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.2500515   Entries 13
0    0.0042671   0.0144706   
1    0.0176760   0.1213805   
2    0.0203967   0.2164753   
3    0.0198272   0.2755515   
4    0.0071218   0.2161870   
5    0.0051319   0.0473487   
6    0.0013806   0.0306325   
7    0.0009281   0.0004145   
8    0.0003085   0.0002573   
9    0.0001758   0.0000444   
10   0.0000000   0.0000240   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.1500515   Entries 13
0    0.0045030   0.0170006   
1    0.0184954   0.1423227   
2    0.0208511   0.2300184   
3    0.0202314   0.2467106   
4    0.0071898   0.1968581   
5    0.0051866   0.0528364   
6    0.0014189   0.0341349   
7    0.0009540   0.0004414   
8    0.0003192   0.0002739   
9    0.0001818   0.0000467   
10   0.0000000   0.0000252   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.0500515   Entries 13
0    0.0046927   0.0199039   
1    0.0191223   0.1662416   
2    0.0210801   0.2458272   
3    0.0204327   0.2154737   
4    0.0072233   0.1757843   
5    0.0052163   0.0578874   
6    0.0014486   0.0373458   
7    0.0009738   0.0004672   
8    0.0003277   0.0002898   
9    0.0001864   0.0000487   
10   0.0000000   0.0000263   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.9500515   Entries 13
0    0.0048003   0.0230296   
1    0.0194060   0.1917961   
2    0.0209048   0.2632450   
3    0.0202602   0.1844844   
4    0.0071661   0.1545575   
5    0.0051802   0.0616351   
6    0.0014582   0.0397091   
7    0.0009801   0.0004878   
8    0.0003315   0.0003025   
9    0.0001883   0.0000502   
10   0.0000000   0.0000271   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.8500515   Entries 13
0    0.0048477   0.0261519   
1    0.0194228   0.2169726   
2    0.0203682   0.2808555   
3    0.0197532   0.1563041   
4    0.0070298   0.1348334   
5    0.0050865   0.0636128   
6    0.0014484   0.0409289   
7    0.0009732   0.0005027   
8    0.0003305   0.0003116   
9    0.0001876   0.0000510   
10   0.0000000   0.0000275   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.7500515   Entries 13
0    0.0049409   0.0288513   
1    0.0195642   0.2379474   
2    0.0197799   0.2952856   
3    0.0192131   0.1337023   
4    0.0069212   0.1188368   
5    0.0050123   0.0645917   
6    0.0014415   0.0415051   
7    0.0009683   0.0005196   
8    0.0003300   0.0003220   
9    0.0001871   0.0000519   
10   0.0000000   0.0000280   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.6500515   Entries 13
0    0.0053552   0.0302502   
1    0.0208666   0.2469134   
2    0.0200164   0.2992915   
3    0.0194860   0.1208920   
4    0.0071336   0.1104440   
5    0.0051703   0.0670862   
6    0.0014993   0.0430552   
7    0.0010067   0.0005616   
8    0.0003440   0.0003480   
9    0.0001948   0.0000552   
10   0.0000000   0.0000297   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 6.5500515   Entries 13
