NEnergy= 15.2501   Entries 11
0    0.00758082  0.018113    
1    0.0635218   0.0820011   
2    0.0978133   0.10078     
3    0.0987057   0.102603    
4    0.0902041   0.0725759   
5    0.0451092   0.0725385   
6    0.0322141   0.0634888   
7    0.00836766  0.0394653   
8    0.00491734  0           
9    0           0           
10   0           0           
NEnergy= 15.1501   Entries 11
0    0.00767861  0.0181163   
1    0.0636639   0.0819925   
2    0.0973551   0.100448    
3    0.0979843   0.102163    
4    0.0897137   0.0724535   
5    0.045293    0.0728867   
6    0.0322902   0.0646742   
7    0.00824934  0.0401948   
8    0.00484317  0           
9    0           0           
10   0           0           
NEnergy= 15.0501   Entries 11
0    0.00777929  0.0181136   
1    0.063817    0.0819529   
2    0.0969066   0.100074    
3    0.0972839   0.101695    
4    0.0892498   0.0723391   
5    0.045506    0.0732382   
6    0.0323852   0.065847    
7    0.00812976  0.040915    
8    0.00476837  0           
9    0           0           
10   0           0           
NEnergy= 14.9501   Entries 11
0    0.00788264  0.0181051   
1    0.0639805   0.0818833   
2    0.0964688   0.099659    
3    0.0966067   0.101203    
4    0.088815    0.0722356   
5    0.04575     0.0735913   
6    0.0325      0.0669979   
7    0.00800896  0.0416197   
8    0.00469298  0           
9    0           0           
10   0           0           
NEnergy= 14.8501   Entries 11
0    0.00798841  0.0180909   
1    0.0641538   0.0817852   
2    0.0960425   0.0992068   
3    0.0959552   0.100689    
4    0.0884122   0.0721463   
5    0.0460266   0.0739441   
6    0.032636    0.0681163   
7    0.00788703  0.0423022   
8    0.00461704  0           
9    0           0           
10   0           0           
NEnergy= 14.7501   Entries 11
0    0.00809638  0.0180715   
1    0.0643366   0.0816598   
2    0.0956289   0.0987194   
3    0.0953324   0.100159    
4    0.0880443   0.0720745   
5    0.0463378   0.0742946   
6    0.0327943   0.0691907   
7    0.00776405  0.0429553   
8    0.00454063  0           
9    0           0           
10   0           0           
NEnergy= 14.6501   Entries 11
0    0.00820629  0.0180472   
1    0.0645285   0.0815088   
2    0.0952292   0.0981999   
3    0.094741    0.0996144   
4    0.0877146   0.0720241   
5    0.0466853   0.0746404   
6    0.0329762   0.0702088   
7    0.00764013  0.0435713   
8    0.0044638   0           
9    0           0           
10   0           0           
NEnergy= 14.5501   Entries 11
0    0.00831792  0.0180181   
1    0.0647291   0.081334    
2    0.0948447   0.0976512   
3    0.0941843   0.0990603   
4    0.0874265   0.0719988   
5    0.0470712   0.074979    
6    0.0331831   0.0711577   
7    0.00751536  0.044142    
8    0.00438662  0           
9    0           0           
10   0           0           
NEnergy= 14.4501   Entries 11
0    0.00843102  0.0179848   
1    0.064938    0.0811372   
2    0.0944769   0.0970765   
3    0.0936656   0.0985006   
4    0.0871834   0.0720025   
5    0.0474975   0.0753076   
6    0.0334164   0.0720239   
7    0.00738988  0.044659    
8    0.00430917  0           
9    0           0           
10   0           0           
NEnergy= 14.3501   Entries 11
0    0.00854534  0.0179474   
1    0.0651549   0.0809202   
2    0.0941273   0.0964793   
3    0.0931882   0.0979394   
4    0.086989    0.0720392   
5    0.0479663   0.0756233   
6    0.0336774   0.0727937   
7    0.0072638   0.0451138   
8    0.00423151  0           
9    0           0           
10   0           0           
NEnergy= 14.2501   Entries 11
0    0.00866061  0.0179065   
1    0.0653793   0.0806848   
2    0.0937972   0.0958628   
3    0.0927556   0.0973811   
4    0.086847    0.0721127   
5    0.0484795   0.0759234   
6    0.0339676   0.0734532   
7    0.00713724  0.0454977   
8    0.00415373  0           
9    0           0           
10   0           0           
NEnergy= 14.1501   Entries 11
0    0.00877657  0.0178622   
1    0.0656108   0.0804328   
2    0.093488    0.0952301   
3    0.0923714   0.0968298   
4    0.0867612   0.0722269   
5    0.0490392   0.0762048   
6    0.0342884   0.0739891   
7    0.00701029  0.0458026   
8    0.00407588  0           
9    0           0           
10   0           0           
NEnergy= 14.0501   Entries 11
0    0.0088929   0.0178149   
1    0.0658486   0.0801656   
2    0.0932012   0.0945845   
3    0.0920392   0.0962892   
4    0.0867352   0.0723852   
5    0.0496473   0.0764646   
6    0.0346411   0.0743885   
7    0.00688305  0.0460206   
8    0.00399802  0           
9    0           0           
10   0           0           
NEnergy= 13.9501   Entries 11
0    0.00900928  0.0177648   
1    0.0660921   0.0798847   
2    0.0929378   0.0939288   
3    0.0917625   0.0957632   
4    0.0867729   0.072591    
5    0.0503058   0.0767002   
6    0.035027    0.0746397   
7    0.0067556   0.0461446   
8    0.00392019  0           
9    0           0           
10   0           0           
NEnergy= 13.8501   Entries 11
0    0.00912534  0.0177119   
1    0.0663401   0.079591    
2    0.0926988   0.0932654   
3    0.0915448   0.095255    
4    0.0868777   0.072847    
5    0.0510162   0.0769089   
6    0.0354471   0.0747322   
7    0.00662798  0.0461682   
8    0.00384243  0           
9    0           0           
10   0           0           
NEnergy= 13.7501   Entries 11
0    0.00924068  0.0176565   
1    0.0665914   0.0792851   
2    0.0924849   0.0925966   
3    0.0913895   0.0947673   
4    0.0870531   0.0731554   
5    0.0517801   0.0770885   
6    0.0359026   0.0746571   
7    0.00650023  0.0460863   
8    0.00376475  0           
9    0           0           
10   0           0           
