#Positive parity populations listed in first column
NEnergy= 9.55005   Entries 13
0    0.0084100   0.0105584   
1    0.0349087   0.0765232   
2    0.0388941   0.1396977   
3    0.0462126   0.2179258   
4    0.0390976   0.1964185   
5    0.0280953   0.0901710   
6    0.0068765   0.0590889   
7    0.0043553   0.0009114   
8    0.0007159   0.0005677   
9    0.0004096   0.0001044   
10   0.0000000   0.0000574   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 9.4500515   Entries 13
0    0.0081150   0.0103296   
1    0.0336413   0.0755805   
2    0.0375284   0.1410515   
3    0.0441347   0.2235609   
4    0.0361752   0.2007447   
5    0.0259343   0.0908936   
6    0.0062585   0.0595055   
7    0.0039630   0.0008578   
8    0.0006620   0.0005340   
9    0.0003785   0.0000975   
10   0.0000000   0.0000535   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 9.3500515   Entries 13
0    0.0078046   0.0100957   
1    0.0323153   0.0745608   
2    0.0361029   0.1424333   
3    0.0420197   0.2295734   
4    0.0333096   0.2052219   
5    0.0238253   0.0913419   
6    0.0056680   0.0597393   
7    0.0035883   0.0008035   
8    0.0006087   0.0004999   
9    0.0003477   0.0000906   
10   0.0000000   0.0000497   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 9.2500515   Entries 13
0    0.0074815   0.0098593   
1    0.0309424   0.0734594   
2    0.0346264   0.1438338   
3    0.0398754   0.2359941   
4    0.0305079   0.2098515   
5    0.0217738   0.0914672   
6    0.0051111   0.0597600   
7    0.0032350   0.0007498   
8    0.0005572   0.0004663   
9    0.0003180   0.0000838   
10   0.0000000   0.0000460   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 9.1500515   Entries 13
0    0.0071453   0.0096177   
1    0.0295236   0.0722482   
2    0.0331066   0.1452298   
3    0.0377124   0.2428536   
4    0.0277830   0.2146468   
5    0.0197890   0.0912469   
6    0.0045906   0.0595538   
7    0.0029050   0.0006972   
8    0.0005080   0.0004333   
9    0.0002897   0.0000773   
10   0.0000000   0.0000424   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 9.0500515   Entries 13
0    0.0067962   0.0093683   
1    0.0280623   0.0709075   
2    0.0315532   0.1466031   
3    0.0355433   0.2501594   
4    0.0251488   0.2196064   
5    0.0178802   0.0906688   
6    0.0041082   0.0591134   
7    0.0025992   0.0006462   
8    0.0004614   0.0004014   
9    0.0002629   0.0000709   
10   0.0000000   0.0000389   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.9500515   Entries 13
0    0.0064358   0.0091104   
1    0.0265660   0.0694319   
2    0.0299778   0.1479441   
3    0.0333836   0.2578886   
4    0.0226209   0.2247100   
5    0.0160574   0.0897299   
6    0.0036642   0.0584381   
7    0.0023178   0.0005970   
8    0.0004176   0.0003707   
9    0.0002377   0.0000649   
10   0.0000000   0.0000355   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.8500515   Entries 13
0    0.0060672   0.0088448   
1    0.0250473   0.0678348   
2    0.0283937   0.1492541   
3    0.0312509   0.2659840   
4    0.0202165   0.2299138   
5    0.0143315   0.0884360   
6    0.0032585   0.0575321   
7    0.0020609   0.0005500   
8    0.0003768   0.0003413   
9    0.0002143   0.0000591   
10   0.0000000   0.0000324   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.7500515   Entries 13
0    0.0056953   0.0085753   
1    0.0235245   0.0661519   
2    0.0268169   0.1505461   
3    0.0291657   0.2743487   
4    0.0179539   0.2351484   
5    0.0127142   0.0868012   
6    0.0028905   0.0564058   
7    0.0018278   0.0005055   
8    0.0003390   0.0003135   
9    0.0001926   0.0000538   
10   0.0000000   0.0000294   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.6500515   Entries 13
0    0.0053268   0.0083089   
1    0.0220221   0.0644436   
2    0.0252661   0.1518453   
3    0.0271512   0.2828432   
4    0.0158519   0.2403163   
5    0.0112170   0.0848506   
6    0.0025591   0.0550760   
7    0.0016180   0.0004638   
8    0.0003043   0.0002875   
9    0.0001728   0.0000487   
10   0.0000000   0.0000266   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.5500515   Entries 13
0    0.0049699   0.0080560   
1    0.0205697   0.0627970   
2    0.0237640   0.1531883   
3    0.0252334   0.2912789   
4    0.0139285   0.2452908   
5    0.0098513   0.0826239   
6    0.0022635   0.0535694   
7    0.0014309   0.0004251   
8    0.0002729   0.0002634   
9    0.0001548   0.0000441   
10   0.0000000   0.0000241   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.4500515   Entries 13
0    0.0046340   0.0078308   
1    0.0192023   0.0613277   
2    0.0223379   0.1546227   
3    0.0234418   0.2994104   
4    0.0121997   0.2499119   
5    0.0086267   0.0801822   
6    0.0020030   0.0519260   
7    0.0012661   0.0003900   
8    0.0002448   0.0002415   
9    0.0001388   0.0000399   
10   0.0000000   0.0000218   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.3500515   Entries 13
0    0.0043296   0.0076519   
1    0.0179589   0.0601848   
2    0.0210209   0.1562071   
3    0.0218100   0.3069214   
4    0.0106784   0.2539808   
5    0.0075514   0.0776167   
6    0.0017772   0.0502057   
7    0.0011233   0.0003587   
8    0.0002202   0.0002221   
9    0.0001247   0.0000362   
10   0.0000000   0.0000198   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.2500515   Entries 13
0    0.0040682   0.0075432   
1    0.0168829   0.0595582   
2    0.0198537   0.1580138   
3    0.0203767   0.3134082   
4    0.0093736   0.2572518   
5    0.0066307   0.0750577   
6    0.0015859   0.0484929   
7    0.0010023   0.0003320   
8    0.0001991   0.0002054   
9    0.0001126   0.0000331   
10   0.0000000   0.0000180   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.1500515   Entries 13
0    0.0038617   0.0075349   
1    0.0160212   0.0596902   
2    0.0188837   0.1601361   
3    0.0191855   0.3183634   
4    0.0082902   0.2594226   
5    0.0058673   0.0726777   
6    0.0014292   0.0468991   
7    0.0009032   0.0003104   
8    0.0001818   0.0001920   
9    0.0001028   0.0000305   
10   0.0000000   0.0000166   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 8.0500515   Entries 13
0    0.0037227   0.0076658   
1    0.0154236   0.0608887   
2    0.0181644   0.1626998   
3    0.0182830   0.3211740   
4    0.0074285   0.2601311   
5    0.0052611   0.0706829   
6    0.0013071   0.0455569   
7    0.0008260   0.0002946   
8    0.0001685   0.0001822   
9    0.0000951   0.0000285   
10   0.0000000   0.0000155   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.9500515   Entries 13
0    0.0036637   0.0079837   
1    0.0151395   0.0635351   
2    0.0177489   0.1658806   
3    0.0177147   0.3211489   
4    0.0067835   0.2589656   
5    0.0048085   0.0692832   
6    0.0012196   0.0446008   
7    0.0007708   0.0002854   
8    0.0001593   0.0001764   
9    0.0000899   0.0000271   
10   0.0000000   0.0000148   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.8500515   Entries 13
0    0.0036959   0.0085451   
1    0.0152119   0.0680774   
2    0.0176800   0.1699180   
3    0.0175143   0.3175972   
4    0.0063440   0.2555022   
5    0.0045013   0.0686370   
6    0.0011662   0.0441314   
7    0.0007371   0.0002835   
8    0.0001543   0.0001752   
9    0.0000870   0.0000265   
10   0.0000000   0.0000144   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 7.7500515   Entries 13
